age_s,urban,uniq_region,country,region2,prevalence,prev_lwr,prev_upr,sensitivity,sens_lwr,sens_upr,specificity,spec_lwr,spec_upr,age
-1.7018136730454254,Urban,GH6_Ashanti,GH6,Ashanti,0.04594463109166692,0.01959832124131526,0.08809162950924802,0.5163288582219409,0.10574851306143544,0.8922881521920475,0.017628349622371753,0.004699524653178315,0.04117059417112548,6
-1.7018136730454254,Urban,GH6_Brong Ahafo,GH6,Brong Ahafo,0.08041252512413918,0.04394067978120934,0.14043959004685272,0.8746026870700285,0.6052002895836162,0.9925153248036467,0.0632939194393716,0.025636038791723704,0.12259946894281645,6
-1.7018136730454254,Urban,GH6_Central,GH6,Central,0.1015638290382038,0.052585571991834106,0.17386620007708598,0.698130757642392,0.34203551953933925,0.9393196358497735,0.054393921088133755,0.021627029189354767,0.10678091269851381,6
-1.7018136730454254,Urban,GH6_Eastern,GH6,Eastern,0.0921341128839767,0.047346285891153625,0.16460299244211118,0.7871663511451914,0.45088026742522336,0.9766351345202422,0.054404381619217346,0.021173146414107887,0.10970811637024877,6
-1.7018136730454254,Urban,GH6_Greater Accra,GH6,Greater Accra,0.03767246337966179,0.015262471599764018,0.06998884526467543,0.4870868110602066,0.06521368903446187,0.9187343243649786,0.017681751962134742,0.00453745629546387,0.03996082263880485,6
-1.7018136730454254,Urban,GH6_Northern,GH6,Northern,0.07151538350505268,0.034930265598333524,0.12212653468492486,0.6420148617798626,0.225691087358355,0.9721370910465291,0.10887323809264647,0.046131541844735835,0.20851267413716934,6
-1.7018136730454254,Urban,GH6_Upper East,GH6,Upper East,0.02659171515154119,0.008171587055186249,0.058835074746056384,0.4058439874793658,0.022393566122263422,0.9127318070530557,0.019693227876029454,0.005293005924082261,0.04753338882696992,6
-1.7018136730454254,Urban,GH6_Upper West,GH6,Upper West,0.05953760956778138,0.018436020135031657,0.11600824010964465,0.8578885249122596,0.46585464100624213,0.9985108559355328,0.09380729041821577,0.030306056064305347,0.19515942653735402,6
-1.7018136730454254,Urban,GH6_Volta,GH6,Volta,0.05371960645375894,0.022840430998016713,0.09985063060259607,0.5133748208434464,0.08133098169900004,0.9054775006719838,0.059867727673969626,0.022100180315287245,0.14004838606028605,6
-1.7018136730454254,Urban,GH6_Western,GH6,Western,0.10816030529257627,0.05538219129375074,0.18582603995880106,0.33021112966542776,0.05216301232527974,0.7224937759554584,0.06108638354601241,0.023721873898441388,0.13743846377209634,6
-1.7018136730454254,Rural,GH6_Ashanti,GH6,Ashanti,0.18678481514930334,0.09511216698160184,0.33289516667229185,0.8345723418519986,0.48024254102012853,0.9844710330379267,0.09083752873088591,0.031958253355111044,0.19408847959692366,6
-1.7018136730454254,Rural,GH6_Brong Ahafo,GH6,Brong Ahafo,0.2114833807012814,0.12381256599897511,0.3207992779372978,0.9552470062431525,0.8381456676469505,0.9974636965832628,0.2440204963809661,0.12594694570644444,0.3893188633933818,6
-1.7018136730454254,Rural,GH6_Central,GH6,Central,0.2977491083326938,0.1881621284240859,0.4290162203532691,0.8990622903398908,0.726901966105167,0.983207015899195,0.20296399865830186,0.10191459649410338,0.3353923524964295,6
-1.7018136730454254,Rural,GH6_Eastern,GH6,Eastern,0.26424555349300094,0.16231875725890885,0.4079738424773219,0.9362656351630574,0.7950227786535832,0.994349485927448,0.19151365948661533,0.09091596198202395,0.32343656440322055,6
-1.7018136730454254,Rural,GH6_Greater Accra,GH6,Greater Accra,0.12790486343299437,0.04665330836152059,0.25181422378134943,0.7934523248581776,0.28834980909263397,0.9917262961608374,0.07911856026420656,0.019183149663231314,0.1818025082729453,6
-1.7018136730454254,Rural,GH6_Northern,GH6,Northern,0.2507287413203205,0.1560366335532996,0.3670022370685245,0.8162542054956008,0.5307219042132176,0.9610353137394081,0.3550710354411206,0.21370835940656555,0.52187601791613,6
-1.7018136730454254,Rural,GH6_Upper East,GH6,Upper East,0.06837404847188755,0.023579869723463147,0.12951280650004574,0.7365077253447126,0.19462058861581025,0.9846587284608624,0.07147920585795249,0.023841327348193938,0.13999213819539172,6
-1.7018136730454254,Rural,GH6_Upper West,GH6,Upper West,0.2333092069049485,0.12757239746894292,0.36601448695874467,0.9617025645040486,0.8506595123620291,0.9993690277377202,0.36215754726617627,0.20420964217484774,0.5449779789904232,6
-1.7018136730454254,Rural,GH6_Volta,GH6,Volta,0.16652405531039915,0.08484798373844443,0.2763358684239229,0.7780477417159497,0.3667314566355685,0.9682473922671541,0.1886698011737008,0.08439052655035469,0.3525590354871559,6
-1.7018136730454254,Rural,GH6_Western,GH6,Western,0.3031514658570226,0.19287833189457182,0.43809548088134387,0.679879834763579,0.31596988873060267,0.9209668421168552,0.2024354958537106,0.09692534857294058,0.3692055310324,6
-1.6373071719643022,Urban,GH6_Ashanti,GH6,Ashanti,0.046612304475557254,0.020154103458433607,0.08819843041935874,0.5257453676633134,0.11512891230774534,0.8939220252143489,0.017902012803299592,0.004862596973558372,0.04140290108098575,7
-1.6373071719643022,Urban,GH6_Brong Ahafo,GH6,Brong Ahafo,0.08179670846634551,0.045158130200789244,0.14194629308324178,0.8765975818939786,0.6145690481641816,0.9923871085018876,0.06463048845143643,0.026716612669853826,0.124412491024326,7
-1.6373071719643022,Urban,GH6_Central,GH6,Central,0.10329486657041409,0.05384943108855908,0.17579222290484367,0.705847196051524,0.35330021054132704,0.9400100528675684,0.05534156675126626,0.02219062563606279,0.1074652483908961,7
