age_s,urban,uniq_region,country,region2,prevalence,prev_lwr,prev_upr,sensitivity,sens_lwr,sens_upr,specificity,spec_lwr,spec_upr,age
-1.7018136730454254,Urban,NG6_North Central,NG6,North Central,0.08787678050798702,0.04754947497601149,0.14400746997778793,0.5570136658739954,0.32697435552201776,0.7592513619770653,0.06523822425132149,0.026948348332076627,0.11751794729598886,6
-1.7018136730454254,Urban,NG6_North East,NG6,North East,0.08602558763660785,0.046874340188609205,0.136291335071539,0.7074511408077754,0.5115326818159288,0.8528502577899669,0.07724300065080422,0.03488580616328341,0.14568308234436278,6
-1.7018136730454254,Urban,NG6_North West,NG6,North West,0.09882309145307734,0.05979614715295813,0.1598115610198972,0.6645300653830433,0.4696794049525242,0.8136418547306317,0.10911411303525728,0.04997341558556413,0.2142585460564761,6
-1.7018136730454254,Urban,NG6_South East,NG6,South East,0.08312266741602907,0.04767385487926353,0.12497457144595767,0.7858790249458801,0.6249603585355152,0.9133919851685176,0.056662823265790155,0.023225473827194427,0.10432164929846911,6
-1.7018136730454254,Urban,NG6_South South,NG6,South South,0.08497496420929804,0.049993494007530934,0.1284081353655698,0.7322003259100796,0.5641056933000652,0.8683875786802909,0.1251293736196435,0.056735345254168304,0.2370531814597749,6
-1.7018136730454254,Urban,NG6_South West,NG6,South West,0.09658012655328921,0.06017997444181947,0.15237382062184993,0.8099148036613801,0.6475416161582501,0.9249466431820796,0.07038792261052142,0.031202961857242143,0.12646232945926086,6
-1.7018136730454254,Rural,NG6_North Central,NG6,North Central,0.4168557994071128,0.2859320107456026,0.5565519158823558,0.7278531267985386,0.5900947169574088,0.8354143998489125,0.14658374533340157,0.07545187197348993,0.24985998494685518,6
-1.7018136730454254,Rural,NG6_North East,NG6,North East,0.21047712843879465,0.13953220409711664,0.3013121863226074,0.8501785619890887,0.7578190831658327,0.9219229618783906,0.1638153333814511,0.08577707675485544,0.2582686055309749,6
-1.7018136730454254,Rural,NG6_North West,NG6,North West,0.3332248941548833,0.24538365614026006,0.4323620838868103,0.8157133513413686,0.7208984214666568,0.8872118807696439,0.26309996762214244,0.16000584690965983,0.3903149902240001,6
-1.7018136730454254,Rural,NG6_South East,NG6,South East,0.21528785460631786,0.13215494895751184,0.3170119784515606,0.8826573228646218,0.7878305627951617,0.9528264479017673,0.1161478101890445,0.05388397148810939,0.20198733561829801,6
-1.7018136730454254,Rural,NG6_South South,NG6,South South,0.2563214317686304,0.17171888296034823,0.35005716804278414,0.8605229873077884,0.7739051685103175,0.9271361805159971,0.3054391609206989,0.1861363165327449,0.45817332287679036,6
-1.7018136730454254,Rural,NG6_South West,NG6,South West,0.32347782010377346,0.20805878642291217,0.4550972029356809,0.8893246608583112,0.7842774804247737,0.9557358547091135,0.1893752659526191,0.08786020109822301,0.34476448885143757,6
-1.6373071719643022,Urban,NG6_North Central,NG6,North Central,0.08969692994168109,0.04878483302229546,0.14649269776380816,0.5582399876734613,0.3285408597419713,0.759789293179318,0.06625847972569437,0.027498156183060875,0.11931499793279639,7
-1.6373071719643022,Urban,NG6_North East,NG6,North East,0.08751008477703201,0.04785300599449069,0.13767798036921233,0.7079159089343355,0.5122162973776632,0.8527069487940563,0.07853749192146112,0.03567701647832235,0.14723312922421788,7
-1.6373071719643022,Urban,NG6_North West,NG6,North West,0.10052150451547616,0.06110487220035853,0.16268572445998225,0.6652392278149979,0.4716108256657297,0.8140883722216611,0.11057428278319122,0.050763524263414767,0.21666936152552016,7
-1.6373071719643022,Urban,NG6_South East,NG6,South East,0.08473665776623983,0.048752540412308754,0.12708728677683753,0.7860056840344586,0.6265955661943702,0.9128035941315793,0.05763605882732226,0.02381073554976785,0.10571328984069317,7
-1.6373071719643022,Urban,NG6_South South,NG6,South South,0.08659054429988726,0.05113636426461662,0.13052593211882182,0.732617724075296,0.5650369688060699,0.867571734824559,0.12675397364217283,0.05773210141246791,0.239193452324546,7
-1.6373071719643022,Urban,NG6_South West,NG6,South West,0.09844189018182369,0.06169410944392768,0.15472105471745948,0.8103441278026172,0.6502348740241702,0.92412243294928,0.07144641561112465,0.03181236879916462,0.12771443181762132,7
-1.6373071719643022,Rural,NG6_North Central,NG6,North Central,0.422345351551105,0.29163014091618317,0.5611855122312581,0.728941622240244,0.5920806202363685,0.835209881203424,0.1486718764890282,0.07707887357264125,0.25267929010596657,7
-1.6373071719643022,Rural,NG6_North East,NG6,North East,0.21362296813802262,0.14221073294958442,0.3050628331857675,0.8505171022278272,0.7590591370921188,0.9216175576227992,0.16630740561332222,0.0877427076989141,0.2614689826354823,7
-1.6373071719643022,Rural,NG6_North West,NG6,North West,0.337463445612431,0.2500048647095142,0.4365092853692866,0.8162389830520153,0.7232197887215469,0.8872595097705495,0.2660367110085246,0.16214008009047873,0.3929786263245141,7
-1.6373071719643022,Rural,NG6_South East,NG6,South East,0.21884738656666589,0.13493674057395047,0.3210904976556057,0.8827756542489223,0.7890785306576255,0.9521169233456026,0.11801044034363439,0.05523972990218044,0.2047478537356154,7
-1.6373071719643022,Rural,NG6_South South,NG6,South South,0.2602687085957899,0.17524154630874386,0.3547821113707345,0.8608228840330324,0.7754323740905048,0.92674573238867,0.3086162436166098,0.1888978260852897,0.46132960658095357,7
-1.6373071719643022,Rural,NG6_South West,NG6,South West,0.32811634976423515,0.21137591642198594,0.459563004562451,0.8896422796520057,0.7857188745909173,0.9552177156394338,0.19183777256616266,0.08938122922066442,0.34725873819145,7
