uniq_region,urban,age_s,prev,sens,spec
GN6_N'Zerekore,Urban,-0.024644644936218884,0.3325,0.53425,0.21625
GN6_Kindia,Rural,-0.024644644936218884,0.60375,0.75425,0.269
GN6_Mamou,Rural,-0.024644644936218884,0.44775,0.65225,0.1995
GN6_Faranah,Rural,-0.024644644936218884,0.7515,0.87075,0.45825
GN6_Conakry,Rural,-0.024644644936218884,0.0945,0.79225,0.0985
GN6_Boke,Rural,-0.024644644936218884,0.23475,0.74175,0.33375
GN6_Labe,Rural,-0.024644644936218884,0.3465,0.56,0.169
GN6_Kankan,Rural,-0.024644644936218884,0.593,0.877,0.575
GN6_N'Zerekore,Rural,-0.024644644936218884,0.70075,0.82175,0.489
GN6_Kindia,Urban,-0.5406966535852056,0.2315,0.33475,0.07375
GN6_Mamou,Urban,-0.5406966535852056,0.17725,0.31725,0.0855
GN6_Faranah,Urban,-0.5406966535852056,0.36475,0.56425,0.21525
GN6_Conakry,Urban,-0.5406966535852056,0.019,0.4765,0.01575
GN6_Boke,Urban,-0.5406966535852056,0.11975,0.341,0.08725
GN6_Labe,Urban,-0.5406966535852056,0.1745,0.215,0.03975
GN6_Kankan,Urban,-0.5406966535852056,0.2765,0.491,0.1995
GN6_N'Zerekore,Urban,-0.5406966535852056,0.316,0.50475,0.19425
GN6_Kindia,Rural,-0.5406966535852056,0.58,0.725,0.24825
GN6_Mamou,Rural,-0.5406966535852056,0.42825,0.60525,0.18475
GN6_Faranah,Rural,-0.5406966535852056,0.731,0.86225,0.43025
GN6_Conakry,Rural,-0.5406966535852056,0.0835,0.7625,0.0855
GN6_Boke,Rural,-0.5406966535852056,0.228,0.712,0.2985
GN6_Labe,Rural,-0.5406966535852056,0.331,0.51275,0.16175
GN6_Kankan,Rural,-0.5406966535852056,0.56975,0.876,0.5445
GN6_N'Zerekore,Rural,-0.5406966535852056,0.668,0.81375,0.4475
GN6_Kindia,Urban,-1.4437876687209321,0.19,0.28075,0.0785
GN6_Mamou,Urban,-1.4437876687209321,0.13925,0.248,0.07425
GN6_Faranah,Urban,-1.4437876687209321,0.3115,0.5145,0.1855
GN6_Conakry,Urban,-1.4437876687209321,0.01675,0.3905,0.00975
GN6_Boke,Urban,-1.4437876687209321,0.09325,0.2975,0.06775
GN6_Labe,Urban,-1.4437876687209321,0.13975,0.17525,0.03825
GN6_Kankan,Urban,-1.4437876687209321,0.259,0.45025,0.154
GN6_N'Zerekore,Urban,-1.4437876687209321,0.2665,0.44625,0.16675
GN6_Kindia,Rural,-1.4437876687209321,0.507,0.6815,0.207
GN6_Mamou,Rural,-1.4437876687209321,0.38025,0.53225,0.16175
GN6_Faranah,Rural,-1.4437876687209321,0.68225,0.8335,0.383
GN6_Conakry,Rural,-1.4437876687209321,0.08,0.6895,0.0855
GN6_Boke,Rural,-1.4437876687209321,0.182,0.66225,0.24675
GN6_Labe,Rural,-1.4437876687209321,0.2865,0.44425,0.13725
GN6_Kankan,Rural,-1.4437876687209321,0.5215,0.85375,0.481
GN6_N'Zerekore,Rural,-1.4437876687209321,0.6165,0.767,0.39575
GN6_Kindia,Urban,-0.21816414817958887,0.2465,0.356,0.08575
GN6_Mamou,Urban,-0.21816414817958887,0.184,0.32175,0.0795
GN6_Faranah,Urban,-0.21816414817958887,0.37775,0.5765,0.216
GN6_Conakry,Urban,-0.21816414817958887,0.0235,0.49925,0.01375
GN6_Boke,Urban,-0.21816414817958887,0.12275,0.3545,0.0885
GN6_Labe,Urban,-0.21816414817958887,0.1745,0.23175,0.04
GN6_Kankan,Urban,-0.21816414817958887,0.28875,0.5165,0.2035
GN6_N'Zerekore,Urban,-0.21816414817958887,0.3385,0.535,0.21775
GN6_Kindia,Rural,-0.21816414817958887,0.57325,0.74425,0.272
GN6_Mamou,Rural,-0.21816414817958887,0.44975,0.62875,0.2095
GN6_Faranah,Rural,-0.21816414817958887,0.74075,0.8675,0.4595
GN6_Conakry,Rural,-0.21816414817958887,0.08875,0.7785,0.097
GN6_Boke,Rural,-0.21816414817958887,0.2335,0.71925,0.31925
GN6_Labe,Rural,-0.21816414817958887,0.333,0.53575,0.166
GN6_Kankan,Rural,-0.21816414817958887,0.6005,0.875,0.572
GN6_N'Zerekore,Rural,-0.21816414817958887,0.69275,0.8165,0.47775
GN6_Kindia,Urban,-0.08915114601734221,0.23825,0.3625,0.08375
GN6_Mamou,Urban,-0.08915114601734221,0.19225,0.31275,0.09225
GN6_Faranah,Urban,-0.08915114601734221,0.405,0.57725,0.2285
GN6_Conakry,Urban,-0.08915114601734221,0.02525,0.50725,0.01675
GN6_Boke,Urban,-0.08915114601734221,0.129,0.36225,0.08975
GN6_Labe,Urban,-0.08915114601734221,0.177,0.25775,0.046
