uniq_region,urban,age_s,prev,sens,spec
TG6_maritime (sans agglomeration de lome),Urban,-0.5406966535852056,0.11975,0.38525,0.04725
TG6_centrale,Urban,-0.5406966535852056,0.168,0.48175,0.0745
TG6_kara,Rural,-1.4437876687209321,0.415,0.8075,0.15325
TG6_grande agglomeration de lome,Rural,-1.4437876687209321,0.18825,0.74975,0.14625
TG6_savanes,Rural,-1.4437876687209321,0.20125,0.759,0.0905
TG6_plateaux,Rural,-1.4437876687209321,0.411,0.79325,0.2675
TG6_maritime (sans agglomeration de lome),Rural,-1.4437876687209321,0.268,0.6255,0.07175
TG6_centrale,Rural,-1.4437876687209321,0.4305,0.76,0.15575
TG6_kara,Urban,-1.4437876687209321,0.17075,0.4505,0.02925
TG6_grande agglomeration de lome,Urban,-1.4437876687209321,0.04025,0.36025,0.037
TG6_savanes,Urban,-1.4437876687209321,0.0535,0.40975,0.05425
TG6_plateaux,Urban,-1.4437876687209321,0.17925,0.382,0.0985
TG6_maritime (sans agglomeration de lome),Urban,-1.4437876687209321,0.08675,0.273,0.0355
TG6_centrale,Urban,-1.4437876687209321,0.1215,0.37325,0.0605
TG6_kara,Rural,-0.21816414817958887,0.543,0.8545,0.228
TG6_grande agglomeration de lome,Rural,-0.21816414817958887,0.244,0.80975,0.15225
TG6_savanes,Rural,-0.21816414817958887,0.26425,0.81575,0.10075
TG6_plateaux,Rural,-0.21816414817958887,0.50675,0.8735,0.262
TG6_maritime (sans agglomeration de lome),Rural,-0.21816414817958887,0.35,0.77675,0.09425
TG6_centrale,Rural,-0.21816414817958887,0.53925,0.85325,0.1785
TG6_kara,Urban,-0.21816414817958887,0.2555,0.53325,0.04225
TG6_grande agglomeration de lome,Urban,-0.21816414817958887,0.05675,0.436,0.03775
TG6_savanes,Urban,-0.21816414817958887,0.07475,0.473,0.04775
TG6_plateaux,Urban,-0.21816414817958887,0.23825,0.5435,0.10525
TG6_maritime (sans agglomeration de lome),Urban,-0.21816414817958887,0.1285,0.43225,0.0485
TG6_centrale,Urban,-0.21816414817958887,0.18175,0.517,0.08175
TG6_kara,Rural,-0.08915114601734221,0.5575,0.85975,0.21125
TG6_grande agglomeration de lome,Rural,-0.08915114601734221,0.25375,0.806,0.16325
TG6_savanes,Rural,-0.08915114601734221,0.27775,0.82975,0.1035
TG6_plateaux,Rural,-0.08915114601734221,0.51675,0.88825,0.26575
TG6_maritime (sans agglomeration de lome),Rural,-0.08915114601734221,0.35325,0.80725,0.1085
TG6_centrale,Rural,-0.08915114601734221,0.5645,0.8695,0.182
TG6_kara,Urban,-0.08915114601734221,0.2585,0.55,0.0495
TG6_grande agglomeration de lome,Urban,-0.08915114601734221,0.0595,0.45975,0.0405
TG6_savanes,Urban,-0.08915114601734221,0.072,0.5085,0.05325
TG6_plateaux,Urban,-0.08915114601734221,0.2435,0.56275,0.109
TG6_maritime (sans agglomeration de lome),Urban,-0.08915114601734221,0.13575,0.46575,0.0455
TG6_centrale,Urban,-0.08915114601734221,0.19225,0.52425,0.08375
TG6_kara,Rural,0.23338135938827445,0.5895,0.879,0.2375
TG6_grande agglomeration de lome,Rural,0.23338135938827445,0.2705,0.81425,0.17025
TG6_savanes,Rural,0.23338135938827445,0.31,0.8275,0.0935
TG6_plateaux,Rural,0.23338135938827445,0.54325,0.90275,0.261
TG6_maritime (sans agglomeration de lome),Rural,0.23338135938827445,0.371,0.83025,0.1155
TG6_centrale,Rural,0.23338135938827445,0.5945,0.87675,0.20125
TG6_kara,Urban,0.23338135938827445,0.276,0.57175,0.05
TG6_grande agglomeration de lome,Urban,0.23338135938827445,0.065,0.493,0.03725
TG6_savanes,Urban,0.23338135938827445,0.08425,0.518,0.05525
TG6_plateaux,Urban,0.23338135938827445,0.265,0.6045,0.10775
TG6_maritime (sans agglomeration de lome),Urban,0.23338135938827445,0.14175,0.5035,0.05475
TG6_centrale,Urban,0.23338135938827445,0.21025,0.5575,0.086
TG6_kara,Rural,-1.4437876687209321,0.4295,0.812,0.139
TG6_grande agglomeration de lome,Rural,-1.4437876687209321,0.18725,0.7335,0.15375
TG6_savanes,Rural,-1.4437876687209321,0.19175,0.7475,0.0895
TG6_plateaux,Rural,-1.4437876687209321,0.4215,0.7815,0.2535
TG6_maritime (sans agglomeration de lome),Rural,-1.4437876687209321,0.25525,0.64125,0.07425
TG6_centrale,Rural,-1.4437876687209321,0.42425,0.76375,0.14925
TG6_kara,Urban,-1.4437876687209321,0.16625,0.44875,0.0295
TG6_grande agglomeration de lome,Urban,-1.4437876687209321,0.03975,0.3725,0.0265
TG6_savanes,Urban,-1.4437876687209321,0.051,0.3945,0.0425
TG6_plateaux,Urban,-1.4437876687209321,0.17075,0.38075,0.103
TG6_maritime (sans agglomeration de lome),Urban,-1.4437876687209321,0.081,0.26825,0.0345
TG6_centrale,Urban,-1.4437876687209321,0.11975,0.379,0.0685
TG6_kara,Rural,-0.5406966535852056,0.5045,0.84525,0.19
TG6_grande agglomeration de lome,Rural,-0.5406966535852056,0.234,0.791,0.15175
TG6_savanes,Rural,-0.5406966535852056,0.256,0.8065,0.1025
TG6_plateaux,Rural,-0.5406966535852056,0.493,0.86175,0.266
TG6_maritime (sans agglomeration de lome),Rural,-0.5406966535852056,0.3295,0.753,0.094
TG6_centrale,Rural,-0.5406966535852056,0.52325,0.8375,0.17
TG6_kara,Urban,-0.5406966535852056,0.22975,0.51525,0.0375
TG6_grande agglomeration de lome,Urban,-0.5406966535852056,0.042,0.417,0.035
TG6_savanes,Urban,-0.5406966535852056,0.07025,0.47125,0.0435
TG6_plateaux,Urban,-0.5406966535852056,0.21325,0.495,0.10225
TG6_maritime (sans agglomeration de lome),Urban,-0.5406966535852056,0.11925,0.38875,0.04325
TG6_centrale,Urban,-0.5406966535852056,0.15875,0.48175,0.073
