age_s,urban,uniq_region,country,region2,prevalence,prev_lwr,prev_upr,sensitivity,sens_lwr,sens_upr,specificity,spec_lwr,spec_upr,age
-1.7018136730454254,Urban,TG6_centrale,TG6,centrale,0.11437108477124443,0.05317861933137977,0.1931718494132642,0.340238778741374,0.15561625377137264,0.5658342788423723,0.06315987470599324,0.024229411312605968,0.13396336577233475,6
-1.7018136730454254,Urban,TG6_grande agglomeration de lome,TG6,grande agglomeration de lome,0.037053083467967506,0.021161159148410904,0.059250519901909215,0.36365840196082744,0.13997056103079733,0.6847316233712687,0.035514875043677965,0.015768356900964047,0.06756256263713963,6
-1.7018136730454254,Urban,TG6_kara,TG6,kara,0.15838129194585693,0.08333264642144428,0.2737923383382654,0.43051973788126735,0.22654569037603295,0.6765381790863516,0.026541939253398622,0.001854914862520741,0.07486616945847056,6
-1.7018136730454254,Urban,TG6_maritime (sans agglomeration de lome),TG6,maritime (sans agglomeration de lome),0.08047798759182519,0.03566851624679664,0.15821736975742307,0.2443242216117817,0.06746875371699737,0.4632516747913985,0.03325382735024471,0.007279851728235229,0.08800685604726027,6
-1.7018136730454254,Urban,TG6_plateaux,TG6,plateaux,0.15784569183994873,0.08550908321886494,0.274163632485665,0.35635228478790154,0.17155181005454143,0.589694745060362,0.1053319751626914,0.034493020105078175,0.2355684049353993,6
-1.7018136730454254,Urban,TG6_savanes,TG6,savanes,0.04819043150830026,0.01800350828290415,0.09203207825636023,0.38386811197916204,0.18058688254429192,0.6350527103968308,0.04481702091799217,0.013659319900211181,0.10612466644893956,6
-1.7018136730454254,Rural,TG6_centrale,TG6,centrale,0.40308761370427987,0.3033805145255211,0.5073296466884855,0.7376842978586827,0.5896680740796441,0.8598275357571794,0.1515323185455808,0.07926417898465325,0.24811918331562627,6
-1.7018136730454254,Rural,TG6_grande agglomeration de lome,TG6,grande agglomeration de lome,0.17398695219095836,0.04165723423497974,0.46958826335192266,0.7270316916231994,0.3549687771725324,0.9531841665935052,0.14970291630902857,0.010542006304278104,0.6224021447217652,6
-1.7018136730454254,Rural,TG6_kara,TG6,kara,0.4036435990639901,0.30823179385367167,0.49520813024890337,0.7907356838227811,0.6634065982522813,0.8970958615340832,0.13377917066176817,0.06487874873967402,0.22470982536237033,6
-1.7018136730454254,Rural,TG6_maritime (sans agglomeration de lome),TG6,maritime (sans agglomeration de lome),0.23781353131395624,0.16706764374586197,0.3204081466829501,0.5853206800982237,0.3272259937505599,0.7750037916921498,0.0693784431201159,0.02679574682496838,0.1282043485093617,6
-1.7018136730454254,Rural,TG6_plateaux,TG6,plateaux,0.3902397796032417,0.3062131486399999,0.4802841244868668,0.7651064843913077,0.6240711482858117,0.8704276686933936,0.25815968024908564,0.1613372114716348,0.3818889288133103,6
