age_s,urban,uniq_region,country,region2,prevalence,prev_lwr,prev_upr,sensitivity,sens_lwr,sens_upr,specificity,spec_lwr,spec_upr,age,uniq_reg_code
-1.7018136730454254,Urban,BF6_Boucle de Mouhoun,BF6,Boucle de Mouhoun,0.1445998822932886,0.08047970432659084,0.23188264917206547,0.7243732265989326,0.5149771247649348,0.8657841446478526,0.3017675015562606,0.17257849857204768,0.46938288929307387,6,BF6_01
-1.7018136730454254,Urban,BF6_Cascades,BF6,Cascades,0.13598921454068008,0.07531531186700162,0.21605884406019013,0.7943973229540614,0.6376028410976052,0.9217956741714924,0.3350964332190992,0.20757292064234525,0.4982665571752627,6,BF6_02
-1.7018136730454254,Urban,BF6_Centre,BF6,Centre,0.03860843599379567,0.018005779725121504,0.06855577028629302,0.7797086500838651,0.5478554098958218,0.9258498824039502,0.08924843154988102,0.046771692271211536,0.14165785399134984,6,BF6_03
-1.7018136730454254,Urban,BF6_Centre-Est,BF6,Centre-Est,0.09958051864303759,0.05625616230718343,0.17046642738337972,0.6495252613484485,0.400413509960819,0.8184488082074414,0.2944097276383185,0.17757964900500375,0.43385412197688283,6,BF6_04
-1.7018136730454254,Urban,BF6_Centre-Nord,BF6,Centre-Nord,0.0882263736288129,0.04562157211933242,0.15095593469512297,0.7453251082303327,0.5367734131049036,0.8878436477182585,0.24074738023665684,0.1304739920286389,0.4260320898544529,6,BF6_05
-1.7018136730454254,Urban,BF6_Centre-Ouest,BF6,Centre-Ouest,0.16773639560604725,0.09017159802828076,0.2754397792217721,0.8740328505646581,0.7267197381575232,0.9656273896325349,0.3700317192588382,0.22918476332560364,0.5521162011356618,6,BF6_06
-1.7018136730454254,Urban,BF6_Centre-Sud,BF6,Centre-Sud,0.10108305949603143,0.055974966035977104,0.16441417743883527,0.7114961776175814,0.478107385158716,0.8581933776656531,0.22856973409386194,0.12713716747985374,0.3835290807669068,6,BF6_07
-1.7018136730454254,Urban,BF6_Est,BF6,Est,0.14011823749193528,0.07696876703058801,0.260295119321234,0.709731809238817,0.50591822172111,0.8789434655353109,0.1644499234821005,0.0754054253683642,0.2973619693110898,6,BF6_08
-1.7018136730454254,Urban,BF6_Hauts Basins,BF6,Hauts Basins,0.11813587262349254,0.06724980045441552,0.1841758003771717,0.750894824712803,0.5772884472132037,0.8878587279165038,0.14426451178486935,0.07511376757286022,0.2248892225042132,6,BF6_09
-1.7018136730454254,Urban,BF6_Nord,BF6,Nord,0.1028878232475959,0.05568557016486586,0.17155801059657078,0.8859694524530083,0.7052722828269153,0.978243968470452,0.4098220101876119,0.25195246322722353,0.5870769449241386,6,BF6_10
